New ,R,G,B,#1,R,G,B,#2,R,G,B,#3,R,G,B,#4,R,G,B,#5,R,G,B,#6,R,G,B,#7,R,G,B,#8,R,G,B,#9,R,G,B,#10,R,G,B
B4_G95,69.9632887620216,70.0498238260113,70.1437936879503,B4_G95,69.93584427,70.00679153,69.65854642,B4_G95,69.93584427,70.00679153,69.65854642,B4_G95,69.93584427,70.00679153,69.65854642,B4_G95,69.93584427,70.00679153,69.65854642,B4_G95,69.93584427,70.00679153,69.65854642,B4_G95,70.41195609,70.04023459,70.31114672,B4_G95,70.41195609,70.04023459,70.31114672,B4_G95,70.41195609,70.04023459,70.31114672,B4_G95,70.41195609,70.04023459,70.31114672,B4_G95,70.41195609,70.04023459,70.31114672
B4_G63,45.7376543790531,46.2934087797139,46.1010400040115,B4_G63,46.36540111,46.57516358,46.30573615,B4_G63,46.36540111,46.57516358,46.30573615,B4_G63,46.36540111,46.57516358,46.30573615,B4_G63,46.36540111,46.57516358,46.30573615,B4_G63,46.36540111,46.57516358,46.30573615,B4_G63,46.36925948,46.55990364,46.13785843,B4_G63,46.36925948,46.55990364,46.13785843,B4_G63,46.36925948,46.55990364,46.13785843,B4_G63,46.36925948,46.55990364,46.13785843,B4_G63,46.36925948,46.55990364,46.13785843
B4_G47,34.8403481382114,35.0048740598169,34.7895537581911,B4_G47,34.7941122,34.87834612,34.65812722,B4_G47,34.7941122,34.87834612,34.65812722,B4_G47,34.7941122,34.87834612,34.65812722,B4_G47,34.7941122,34.87834612,34.65812722,B4_G47,34.7941122,34.87834612,34.65812722,B4_G47,34.66493329,34.8935875,34.72139176,B4_G47,34.66493329,34.8935875,34.72139176,B4_G47,34.66493329,34.8935875,34.72139176,B4_G47,34.66493329,34.8935875,34.72139176,B4_G47,34.66493329,34.8935875,34.72139176
B4_G31,22.543366489437,22.9196054029944,22.803636506068,B4_G31,22.70081128,23.19325079,22.9502603,B4_G31,22.70081128,23.19325079,22.9502603,B4_G31,22.70081128,23.19325079,22.9502603,B4_G31,22.70081128,23.19325079,22.9502603,B4_G31,22.70081128,23.19325079,22.9502603,B4_G31,22.79123256,23.04267742,23.17093476,B4_G31,22.79123256,23.04267742,23.17093476,B4_G31,22.79123256,23.04267742,23.17093476,B4_G31,22.79123256,23.04267742,23.17093476,B4_G31,22.79123256,23.04267742,23.17093476
B4_G23,16.8575595317701,17.4685237718905,17.0136300921274,B4_G23,17.09973534,17.33683874,17.24573859,B4_G23,17.09973534,17.33683874,17.24573859,B4_G23,17.09973534,17.33683874,17.24573859,B4_G23,17.09973534,17.33683874,17.24573859,B4_G23,17.09973534,17.33683874,17.24573859,B4_G23,17.16054214,17.37714037,17.13724807,B4_G23,17.16054214,17.37714037,17.13724807,B4_G23,17.16054214,17.37714037,17.13724807,B4_G23,17.16054214,17.37714037,17.13724807,B4_G23,17.16054214,17.37714037,17.13724807
B4_G15,11.0425514054952,11.2300324199397,10.8924892359463,B4_G15,11.03307649,11.16382998,11.04081264,B4_G15,11.03307649,11.16382998,11.04081264,B4_G15,11.03307649,11.16382998,11.04081264,B4_G15,11.03307649,11.16382998,11.04081264,B4_G15,11.03307649,11.16382998,11.04081264,B4_G15,11.08944818,11.28360043,10.89240338,B4_G15,11.08944818,11.28360043,10.89240338,B4_G15,11.08944818,11.28360043,10.89240338,B4_G15,11.08944818,11.28360043,10.89240338,B4_G15,11.08944818,11.28360043,10.89240338
B4_G7,5.86690543874893,6.61581852453449,6.0963243560918,B4_G7,5.75632726,6.599270324,6.083251844,B4_G7,5.75632726,6.599270324,6.083251844,B4_G7,5.75632726,6.599270324,6.083251844,B4_G7,5.75632726,6.599270324,6.083251844,B4_G7,5.75632726,6.599270324,6.083251844,B4_G7,5.822404168,6.58664095,6.061086473,B4_G7,5.822404168,6.58664095,6.061086473,B4_G7,5.822404168,6.58664095,6.061086473,B4_G7,5.822404168,6.58664095,6.061086473,B4_G7,5.822404168,6.58664095,6.061086473
B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4,B4_G5,4,4,4
B5_G255,245.94509125242,245.829488598931,247.090507671269,B5_G255,246.6422748,245.5879684,246.6395083,B5_G255,246.6422748,245.5879684,246.6395083,B5_G255,246.6422748,245.5879684,246.6395083,B5_G255,246.6422748,245.5879684,246.6395083,B5_G255,246.6422748,245.5879684,246.6395083,B5_G255,245.6738112,245.7183873,245.7156,B5_G255,245.6738112,245.7183873,245.7156,B5_G255,245.6738112,245.7183873,245.7156,B5_G255,245.6738112,245.7183873,245.7156,B5_G255,245.6738112,245.7183873,245.7156
B5_G191,183.527941675371,183.590775493222,184.400340320844,B5_G191,183.0482517,183.3246069,184.0889736,B5_G191,183.0482517,183.3246069,184.0889736,B5_G191,183.0482517,183.3246069,184.0889736,B5_G191,183.0482517,183.3246069,184.0889736,B5_G191,183.0482517,183.3246069,184.0889736,B5_G191,184.2846104,184.2136715,184.189262,B5_G191,184.2846104,184.2136715,184.189262,B5_G191,184.2846104,184.2136715,184.189262,B5_G191,184.2846104,184.2136715,184.189262,B5_G191,184.2846104,184.2136715,184.189262
